epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.517,0.85041,2.495,1.01783,0.00959,0.98529,0.92902,0.73892,0.64623,2.96725,0.86613,0.000465508,0.000465508,0.000465508
2,263.727,0.80984,1.38523,0.98601,0.9784,0.77225,0.98837,0.7708,0.71181,2.22043,0.87145,0.000923192,0.000923192,0.000923192
3,379.503,0.81858,1.23367,0.99382,0.77859,0.92941,0.89202,0.71347,0.74216,1.81874,0.93995,0.00136201,0.00136201,0.00136201
4,495.8,0.78743,1.14968,0.96452,0.86038,0.93455,0.95663,0.79935,0.6562,1.70221,0.90416,0.00134412,0.00134412,0.00134412
5,611.73,0.75846,1.05677,0.97261,0.92279,0.9536,0.9556,0.81476,0.58732,1.21328,0.89037,0.00131582,0.00131582,0.00131582
6,728.159,0.71294,0.97366,0.9458,0.95014,0.98286,0.98871,0.85149,0.56358,1.02227,0.88387,0.00128753,0.00128753,0.00128753
7,1433.13,0.68391,1.1859,0.93372,0.98493,0.98841,0.99377,0.86481,0.5651,0.93544,0.90499,0.00125923,0.00125923,0.00125923
8,1552.98,0.68725,0.87051,0.95135,0.98013,0.99756,0.99185,0.85594,0.58669,0.9217,0.90328,0.00123094,0.00123094,0.00123094
9,1672.03,0.65981,0.81013,0.9464,0.96513,0.99113,0.99112,0.86666,0.53771,0.8297,0.88664,0.00120265,0.00120265,0.00120265
10,1791.59,0.67196,0.78684,0.9392,0.98665,0.9902,0.99404,0.86448,0.53189,0.75078,0.87533,0.00117435,0.00117435,0.00117435
11,1911.73,0.62375,0.69497,0.92961,0.98971,0.98972,0.99462,0.88538,0.51461,0.74864,0.87099,0.00114606,0.00114606,0.00114606
12,2025.82,0.65102,0.70291,0.95379,0.99365,0.98801,0.99396,0.87228,0.53961,0.76228,0.87966,0.00111776,0.00111776,0.00111776
13,2139.67,0.60946,0.65054,0.92277,0.97879,0.96849,0.99157,0.87993,0.50725,0.70915,0.8821,0.00108947,0.00108947,0.00108947
14,2252.82,0.60193,0.62371,0.92297,0.9866,0.9902,0.99347,0.88682,0.49707,0.61797,0.87141,0.00106118,0.00106118,0.00106118
15,2362.8,0.60849,0.60371,0.92678,0.99491,0.98329,0.99424,0.87546,0.51362,0.60897,0.87926,0.00103288,0.00103288,0.00103288
16,2471.24,0.59871,0.57398,0.92125,0.99838,0.99277,0.99469,0.89544,0.47306,0.57335,0.86395,0.00100459,0.00100459,0.00100459
17,2578.1,0.56978,0.53164,0.90448,0.9989,0.99441,0.99486,0.89526,0.47416,0.53,0.86653,0.000976293,0.000976293,0.000976293
18,2687.17,0.57254,0.52756,0.92182,0.99366,0.99917,0.99331,0.89687,0.4875,0.52468,0.87224,0.000947999,0.000947999,0.000947999
19,2795.95,0.58763,0.52103,0.93043,0.99223,0.9951,0.99404,0.89317,0.48564,0.50164,0.86985,0.000919704,0.000919704,0.000919704
20,2900.99,0.56753,0.50035,0.91498,0.99772,0.9951,0.9949,0.90034,0.45528,0.46216,0.85857,0.00089141,0.00089141,0.00089141
21,3006.39,0.57152,0.50447,0.91795,0.99853,0.99468,0.9949,0.89593,0.45969,0.46039,0.86505,0.000863116,0.000863116,0.000863116
22,3111.33,0.58333,0.50286,0.91562,0.99332,0.9951,0.9949,0.90086,0.46353,0.45284,0.86868,0.000834822,0.000834822,0.000834822
23,3217.06,0.54088,0.48205,0.9144,0.99255,0.99883,0.99466,0.9055,0.43981,0.41621,0.85748,0.000806528,0.000806528,0.000806528
24,3322.51,0.52819,0.4558,0.90436,0.99735,1,0.995,0.89404,0.47458,0.43701,0.86687,0.000778233,0.000778233,0.000778233
25,3431.56,0.56147,0.46699,0.92881,0.99277,0.9951,0.9949,0.8889,0.47776,0.43865,0.86586,0.000749939,0.000749939,0.000749939
26,3843.78,0.55706,0.45821,0.91572,0.99299,1,0.99495,0.9025,0.44805,0.41121,0.85721,0.000721645,0.000721645,0.000721645
27,3951.46,0.54495,0.44014,0.91307,0.99841,1,0.995,0.90232,0.45038,0.39746,0.85484,0.000693351,0.000693351,0.000693351
28,4060.1,0.54787,0.44259,0.91413,0.9969,1,0.995,0.91278,0.4463,0.38281,0.86173,0.000665057,0.000665057,0.000665057
29,4169,0.52067,0.4136,0.9021,0.99772,1,0.995,0.90137,0.43946,0.3933,0.85634,0.000636762,0.000636762,0.000636762
30,4284.77,0.5238,0.42385,0.89961,0.99805,1,0.995,0.91387,0.42616,0.36865,0.85302,0.000608468,0.000608468,0.000608468
